year,make,model,trim,excess wear and tear,ROAD key replacement,3-in-1,tire and wheel
2019,Acura,ILX,Base,,,,
2019,Acura,ILX,w/Premium,,,,
2019,Acura,ILX,w/Premium w/A-SPEC,,,,
2019,Acura,ILX,w/Tech,,,,
2019,Acura,ILX,w/Tech w/A-SPEC,,,,
2019,Acura,MDX,Base,,,,
2019,Acura,MDX,SH-AWD,,,,
2019,Acura,MDX,SH-AWD Sport Hybrid w/Advance,,,,
2019,Acura,MDX,SH-AWD Sport Hybrid w/Tech,,,,
2019,Acura,MDX,SH-AWD w/Advance,,,,
2019,Acura,MDX,SH-AWD w/Advance w/RES,,,,
2019,Acura,MDX,SH-AWD w/Tech,,,,
2019,Acura,MDX,SH-AWD w/Tech w/A-SPEC,,,,
2019,Acura,MDX,SH-AWD w/Tech w/RES,,,,
2019,Acura,MDX,w/Advance,,,,
2019,Acura,MDX,w/Advance w/RES,,,,
2019,Acura,MDX,w/Tech,,,,
2019,Acura,MDX,w/Tech w/RES,,,,
2019,Acura,RDX,Base,,,,
2019,Acura,RDX,SH-AWD,,,,
2019,Acura,RDX,SH-AWD w/Advance,,,,
2019,Acura,RDX,SH-AWD w/A-SPEC,,,,
2019,Acura,RDX,SH-AWD w/Tech,,,,
2019,Acura,RDX,w/Advance,,,,
2019,Acura,RDX,w/A-SPEC,,,,
2019,Acura,RDX,w/Tech,,,,
2019,Acura,RLX,SH-AWD Sport Hybrid w/Advance,,,,
2019,Acura,RLX,w/Tech,,,,
2019,Acura,TLX,Base,,,,
2019,Acura,TLX,SH-AWD V6,,,,
2019,Acura,TLX,SH-AWD V6 w/Advance,,,,
2019,Acura,TLX,SH-AWD V6 w/Tech,,,,
2019,Acura,TLX,SH-AWD V6 w/Tech w/A-SPEC,,,,
2019,Acura,TLX,V6,,,,
2019,Acura,TLX,V6 w/Advance,,,,
2019,Acura,TLX,V6 w/Tech,,,,
2019,Acura,TLX,V6 w/Tech w/A-SPEC,,,,
2019,Acura,TLX,w/Tech,,,,
2019,Acura,TLX,w/Tech w/A-SPEC,,,,
2019,Alfa Romeo,Giulia,Base,,,,
2019,Alfa Romeo,Giulia,Sport,,,,
2019,Alfa Romeo,Giulia,Ti,,,,
2019,Alfa Romeo,Giulia,Ti Lusso,,,,
2019,Alfa Romeo,Giulia,Ti Sport,,,,
2019,Alfa Romeo,Giulia,Ti Sport Carbon,,,,
2019,Alfa Romeo,Giulia Quadrifoglio,Base,,,,
2019,Alfa Romeo,Stelvio,Base,,,,
2019,Alfa Romeo,Stelvio,Sport,,,,
2019,Alfa Romeo,Stelvio,Ti,,,,
2019,Alfa Romeo,Stelvio,Ti Lusso,,,,
2019,Alfa Romeo,Stelvio,Ti Sport,,,,
2019,Alfa Romeo,Stelvio Quadrifoglio,Base,,,,
2019,Audi,A3,2.0T Premium,,,,
2019,Audi,A3,2.0T Premium Plus,,,,
2019,Audi,A3,2.0T quattro Premium,,,,
2019,Audi,A3,2.0T quattro Premium Plus,,,,
2019,Audi,A4,2.0T Premium,,,,
2019,Audi,A4,2.0T Premium Plus,,,,
2019,Audi,A4,2.0T quattro Premium,,,,
2019,Audi,A4,2.0T quattro Premium Plus,,,,
2019,Audi,A4,2.0T quattro Prestige,,,,
2019,Audi,A5,2.0T quattro Premium,,,,
2019,Audi,A5,2.0T quattro Premium Plus,,,,
2019,Audi,A5,2.0T quattro Prestige,,,,
2019,Audi,A5 Sportback,2.0T quattro Premium,,,,
2019,Audi,A5 Sportback,2.0T quattro Premium Plus,,,,
2019,Audi,A5 Sportback,2.0T quattro Prestige,,,,
2019,Audi,A6,3.0T quattro Premium,,,,
2019,Audi,A6,3.0T quattro Premium Plus,,,,
2019,Audi,A6,3.0T quattro Prestige,,,,
2019,Audi,A7,3.0T quattro Premium,,,,
2019,Audi,A7,3.0T quattro Premium Plus,,,,
2019,Audi,A7,3.0T quattro Prestige,,,,
2019,Audi,A8 L,3.0T quattro,,,,
2019,Audi,Q5,2.0T quattro Premium,,,,
2019,Audi,Q5,2.0T quattro Premium Plus,,,,
2019,Audi,Q5,2.0T quattro Prestige,,,,
2019,Audi,Q7,2.0T quattro Premium,,,,
2019,Audi,Q7,2.0T quattro Premium Plus,,,,
2019,Audi,Q7,3.0T quattro Premium,,,,
2019,Audi,Q7,3.0T quattro Premium Plus,,,,
2019,Audi,Q7,3.0T quattro Prestige,,,,
2019,Audi,Q8,3.0T quattro Premium,,,,
2019,Audi,Q8,3.0T quattro Premium Plus,,,,
2019,Audi,Q8,3.0T quattro Prestige,,,,
2019,Audi,RS 5,2.9T quattro,,,,
2019,Audi,RS 5 Sportback,2.9T quattro,,,,
2019,Audi,S4,3.0T quattro Premium Plus,,,,
2019,Audi,S4,3.0T quattro Prestige,,,,
2019,Audi,S5,3.0T quattro Premium Plus,,,,
2019,Audi,S5,3.0T quattro Prestige,,,,
2019,Audi,S5 Sportback,3.0T quattro Premium,,,,
2019,Audi,S5 Sportback,3.0T quattro Premium Plus,,,,
2019,Audi,S5 Sportback,3.0T quattro Prestige,,,,
2019,Audi,SQ5,3.0T quattro Premium,,,,
2019,Audi,SQ5,3.0T quattro Premium Plus,,,,
2019,Audi,SQ5,3.0T quattro Prestige,,,,
2019,Audi,TT,2.0T quattro,,,,
2019,BMW,2 Series,230i,,,,
2019,BMW,2 Series,230i xDrive,,,,
2019,BMW,2 Series,M240i,,,,
2019,BMW,2 Series,M240i xDrive,,,,
2019,BMW,3 Series,330i,,,,
2019,BMW,3 Series,330i xDrive,,,,
2019,BMW,3 Series,330i xDrive Gran Turismo,,,,
2019,BMW,4 Series,430i,,,,
2019,BMW,4 Series,430i Gran Coupe,,,,
2019,BMW,4 Series,430i xDrive,,,,
2019,BMW,4 Series,430i xDrive Gran Coupe,,,,
2019,BMW,4 Series,440i,,,,
2019,BMW,4 Series,440i Gran Coupe,,,,
2019,BMW,4 Series,440i xDrive,,,,
2019,BMW,4 Series,440i xDrive Gran Coupe,,,,
2019,BMW,5 Series,530e iPerformance,,,,
2019,BMW,5 Series,530e xDrive iPerformance,,,,
2019,BMW,5 Series,530i,,,,
2019,BMW,5 Series,530i xDrive,,,,
2019,BMW,5 Series,540i,,,,
2019,BMW,5 Series,540i xDrive,,,,
2019,BMW,5 Series,M550i xDrive,,,,
2019,BMW,6 Series,640i xDrive Gran Turismo,,,,
2019,BMW,7 Series,740e xDrive iPerformance,,,,
2019,BMW,7 Series,740i,,,,
2019,BMW,7 Series,740i xDrive,,,,
2019,BMW,7 Series,750i,,,,
2019,BMW,7 Series,750i xDrive,,,,
2019,BMW,7 Series,ALPINA B7 xDrive,,,,
2019,BMW,7 Series,M760i xDrive,,,,
2019,BMW,8 Series,M850i xDrive,,,,
2019,BMW,i3,Base,,,,
2019,BMW,i3,s,,,,
2019,BMW,i8,Base,,,,
2019,BMW,M4,Base,,,,
2019,BMW,M4,CS,,,,
2019,BMW,X1,sDrive28i,,,,
2019,BMW,X1,xDrive28i,,,,
2019,BMW,X2,M35i,,,,
2019,BMW,X2,sDrive28i,,,,
2019,BMW,X2,xDrive28i,,,,
2019,BMW,X3,M40i,,,,
2019,BMW,X3,sDrive30i,,,,
2019,BMW,X3,xDrive30i,,,,
2019,BMW,X4,M40i,,,,
2019,BMW,X4,xDrive30i,,,,
2019,BMW,X5,xDrive40i,,,,
2019,BMW,X5,xDrive50i,,,,
2019,BMW,X6,sDrive35i,,,,
2019,BMW,X6,xDrive35i,,,,
2019,BMW,X6,xDrive50i,,,,
2019,Buick,Cascada,Premium,,,,
2019,Buick,Cascada,Sport Touring,,,,
2019,Buick,Enclave,Avenir,,,,
2019,Buick,Enclave,Essence,,,,
2019,Buick,Enclave,Preferred,,,,
2019,Buick,Enclave,Premium,,,,
2019,Buick,Encore,Base,,,,
2019,Buick,Encore,Essence,,,,
2019,Buick,Encore,Preferred,,,,
2019,Buick,Encore,Sport Touring,,,,
2019,Buick,Envision,Essence,,,,
2019,Buick,Envision,Preferred,,,,
2019,Buick,Envision,Premium,,,,
2019,Buick,Envision,Premium II,,,,
2019,Buick,LaCrosse,Avenir,,,,
2019,Buick,LaCrosse,Essence,,,,
2019,Buick,LaCrosse,Preferred,,,,
2019,Buick,LaCrosse,Sport Touring,,,,
2019,Buick,Regal Sportback,Avenir,,,,
2019,Buick,Regal Sportback,Essence,,,,
2019,Buick,Regal Sportback,GS,,,,
2019,Buick,Regal Sportback,Preferred,,,,
2019,Buick,Regal Sportback,Preferred II,,,,
2019,Buick,Regal TourX,Essence,,,,
2019,Buick,Regal TourX,Preferred,,,,
2019,Cadillac,ATS,2.0T,,,,
2019,Cadillac,ATS,2.0T Luxury,,,,
2019,Cadillac,CT6,2.0T Luxury,,,,
2019,Cadillac,CT6,3.0TT Platinum,,,,
2019,Cadillac,CT6,3.0TT Sport,,,,
2019,Cadillac,CT6,3.6L Luxury,,,,
2019,Cadillac,CT6,3.6L Premium Luxury,,,,
2019,Cadillac,CTS,2.0T,,,,
2019,Cadillac,CTS,2.0T Luxury,,,,
2019,Cadillac,CTS,3.6L Luxury,,,,
2019,Cadillac,CTS,3.6L Premium Luxury,,,,
2019,Cadillac,CTS,3.6L TT Vsport,,,,
2019,Cadillac,CTS,3.6L TT Vsport Premium Luxury,,,,
2019,Cadillac,CTS-V,Base,,,,
2019,Cadillac,Escalade,Luxury,,,,
2019,Cadillac,Escalade,Platinum,,,,
2019,Cadillac,Escalade,Premium Luxury,,,,
2019,Cadillac,Escalade,Standard,,,,
2019,Cadillac,Escalade ESV,Luxury,,,,
2019,Cadillac,Escalade ESV,Platinum,,,,
2019,Cadillac,Escalade ESV,Premium Luxury,,,,
2019,Cadillac,Escalade ESV,Standard,,,,
2019,Cadillac,XT4,Luxury,,,,
2019,Cadillac,XT4,Premium Luxury,,,,
2019,Cadillac,XT4,Sport,,,,
2019,Cadillac,XT5,Base,,,,
2019,Cadillac,XT5,Luxury,,,,
2019,Cadillac,XT5,Platinum,,,,
2019,Cadillac,XT5,Premium Luxury,,,,
2019,Cadillac,XTS,Luxury,,,,
2019,Cadillac,XTS,Platinum,,,,
2019,Cadillac,XTS,Premium Luxury,,,,
2019,Cadillac,XTS,Standard,,,,
2019,Chevrolet,Blazer,L,,,,
2019,Chevrolet,Blazer,LT Cloth,,,,
2019,Chevrolet,Blazer,LT Leather,,,,
2019,Chevrolet,Blazer,Premier,,,,
2019,Chevrolet,Blazer,RS,,,,
2019,Chevrolet,Bolt EV,LT,,,,
2019,Chevrolet,Bolt EV,Premier,,,,
2019,Chevrolet,Camaro,LS,,,,
2019,Chevrolet,Camaro,LT,,,,
2019,Chevrolet,Camaro,SS,,,,
2019,Chevrolet,Camaro,ZL1,,,,
2019,Chevrolet,Colorado,Base,,,,
2019,Chevrolet,Colorado,LT,,,,
2019,Chevrolet,Colorado,Work Truck,,,,
2019,Chevrolet,Colorado,Z71,,,,
2019,Chevrolet,Colorado,ZR2,,,,
2019,Chevrolet,Corvette,Grand Sport,,,,
2019,Chevrolet,Corvette,Stingray,,,,
2019,Chevrolet,Corvette,Stingray Z51,,,,
2019,Chevrolet,Corvette,Z06,,,,
2019,Chevrolet,Corvette,ZR1,,,,
2019,Chevrolet,Cruze,Diesel,,,,
2019,Chevrolet,Cruze,LS,,,,
2019,Chevrolet,Cruze,LT,,,,
2019,Chevrolet,Cruze,Premier,,,,
2019,Chevrolet,Equinox,LS,,,,
2019,Chevrolet,Equinox,LT,,,,
2019,Chevrolet,Equinox,Premier,,,,
2019,Chevrolet,Express Cargo,2500,,,,
2019,Chevrolet,Express Cargo,3500,,,,
2019,Chevrolet,Express Passenger,LT 2500,,,,
2019,Chevrolet,Express Passenger,LT 3500,,,,
2019,Chevrolet,Impala,LS,,,,
2019,Chevrolet,Impala,LT,,,,
2019,Chevrolet,Impala,Premier,,,,
2019,Chevrolet,Malibu,Hybrid,,,,
2019,Chevrolet,Malibu,LS,,,,
2019,Chevrolet,Malibu,LT,,,,
2019,Chevrolet,Malibu,Premier,,,,
2019,Chevrolet,Malibu,RS,,,,
2019,Chevrolet,Silverado 1500,Custom,,,,
2019,Chevrolet,Silverado 1500,Custom Trail Boss,,,,
2019,Chevrolet,Silverado 1500,High Country,,,,
2019,Chevrolet,Silverado 1500,LT,,,,
2019,Chevrolet,Silverado 1500,LT Trail Boss,,,,
2019,Chevrolet,Silverado 1500,LTZ,,,,
2019,Chevrolet,Silverado 1500,RST,,,,
2019,Chevrolet,Silverado 1500,Work Truck,,,,
2019,Chevrolet,Silverado 1500 LD,Custom,,,,
2019,Chevrolet,Silverado 1500 LD,LT,,,,
2019,Chevrolet,Silverado 1500 LD,LT Z71,,,,
2019,Chevrolet,Silverado 1500 LD,Work Truck,,,,
2019,Chevrolet,Silverado 1500 Legacy,Custom,,,,
2019,Chevrolet,Silverado 1500 Legacy,LT,,,,
2019,Chevrolet,Silverado 1500 Legacy,LT Z71,,,,
2019,Chevrolet,Silverado 1500 Legacy,Work Truck,,,,
2019,Chevrolet,Silverado 2500HD,High Country,,,,
2019,Chevrolet,Silverado 2500HD,LT,,,,
2019,Chevrolet,Silverado 2500HD,LTZ,,,,
2019,Chevrolet,Silverado 2500HD,Work Truck,,,,
2019,Chevrolet,Silverado 3500HD,High Country,,,,
2019,Chevrolet,Silverado 3500HD,LT,,,,
2019,Chevrolet,Silverado 3500HD,LTZ,,,,
2019,Chevrolet,Silverado 3500HD,Work Truck,,,,
2019,Chevrolet,Sonic,LS Auto,,,,
2019,Chevrolet,Sonic,LT Auto,,,,
2019,Chevrolet,Sonic,Premier Auto,,,,
2019,Chevrolet,Spark,1LT CVT,,,,
2019,Chevrolet,Spark,1LT Manual,,,,
2019,Chevrolet,Spark,2LT CVT,,,,
2019,Chevrolet,Spark,LS CVT,,,,
2019,Chevrolet,Spark,LS Manual,,,,
2019,Chevrolet,Suburban,LS 1500,,,,
2019,Chevrolet,Suburban,LT 1500,,,,
2019,Chevrolet,Suburban,Premier 1500,,,,
2019,Chevrolet,Tahoe,LS,,,,
2019,Chevrolet,Tahoe,LT,,,,
2019,Chevrolet,Tahoe,Premier,,,,
2019,Chevrolet,Traverse,High Country,,,,
2019,Chevrolet,Traverse,LS,,,,
2019,Chevrolet,Traverse,LT Cloth,,,,
2019,Chevrolet,Traverse,LT Leather,,,,
2019,Chevrolet,Traverse,Premier,,,,
2019,Chevrolet,Traverse,RS,,,,
2019,Chevrolet,Trax,LS,,,,
2019,Chevrolet,Trax,LT,,,,
2019,Chevrolet,Trax,Premier,,,,
2019,Chevrolet,Volt,LT,,,,
2019,Chevrolet,Volt,Premier,,,,
2019,Chrysler,300,C,,,,
2019,Chrysler,300,Limited,,,,
2019,Chrysler,300,S,,,,
2019,Chrysler,300,Touring,,,,
2019,Chrysler,300,Touring L,,,,
2019,Chrysler,Pacifica,L,,,,
2019,Chrysler,Pacifica,Limited,,,,
2019,Chrysler,Pacifica,LX,,,,
2019,Chrysler,Pacifica,Touring L,,,,
2019,Chrysler,Pacifica,Touring L Plus,,,,
2019,Chrysler,Pacifica,Touring Plus,,,,
2019,Chrysler,Pacifica Hybrid,Limited,,,,
2019,Chrysler,Pacifica Hybrid,Touring L,,,,
2019,Chrysler,Pacifica Hybrid,Touring Plus,,,,
2019,Dodge,Challenger,GT,,,,
2019,Dodge,Challenger,R/T,,,,
2019,Dodge,Challenger,R/T Scat Pack,,,,
2019,Dodge,Challenger,SRT Hellcat,,,,
2019,Dodge,Challenger,SRT Hellcat Redeye,,,,
2019,Dodge,Challenger,SXT,,,,
2019,Dodge,Charger,GT,,,,
2019,Dodge,Charger,R/T,,,,
2019,Dodge,Charger,R/T Scat Pack,,,,
2019,Dodge,Charger,SRT Hellcat,,,,
2019,Dodge,Charger,SXT,,,,
2019,Dodge,Durango,Citadel,,,,
2019,Dodge,Durango,Citadel Anodized Platinum,,,,
2019,Dodge,Durango,GT,,,,
2019,Dodge,Durango,GT Plus,,,,
2019,Dodge,Durango,R/T,,,,
2019,Dodge,Durango,SRT,,,,
2019,Dodge,Durango,SXT,,,,
2019,Dodge,Durango,SXT Plus,,,,
2019,Dodge,Grand Caravan,SE,,,,
2019,Dodge,Grand Caravan,SE Plus,,,,
2019,Dodge,Grand Caravan,SXT,,,,
2019,Dodge,Journey,Crossroad,,,,
2019,Dodge,Journey,GT,,,,
2019,Dodge,Journey,SE,,,,
2019,Dodge,Journey,SE Value Package,,,,
2019,FIAT,124 Spider,Abarth,,,,
2019,FIAT,124 Spider,Classica,,,,
2019,FIAT,124 Spider,Lusso,,,,
2019,FIAT,500L,Lounge,,,,
2019,FIAT,500L,Pop,,,,
2019,FIAT,500L,Trekking,,,,
2019,FIAT,500L,Urbana,,,,
2019,Ford,EcoSport,S,,,,
2019,Ford,EcoSport,SE,,,,
2019,Ford,EcoSport,SES,,,,
2019,Ford,EcoSport,Titanium,,,,
2019,Ford,Edge,SE,,,,
2019,Ford,Edge,SEL,,,,
2019,Ford,Edge,ST,,,,
2019,Ford,Edge,Titanium,,,,
2019,Ford,Escape,S,,,,
2019,Ford,Escape,SE,,,,
2019,Ford,Escape,SEL,,,,
2019,Ford,Escape,Titanium,,,,
2019,Ford,Expedition,Limited,,,,
2019,Ford,Expedition,Platinum,,,,
2019,Ford,Expedition,XLT,,,,
2019,Ford,Expedition MAX,Limited,,,,
2019,Ford,Expedition MAX,Platinum,,,,
2019,Ford,Expedition MAX,XLT,,,,
2019,Ford,Explorer,Base,,,,
2019,Ford,Explorer,Limited,,,,
2019,Ford,Explorer,Platinum,,,,
2019,Ford,Explorer,Sport,,,,
2019,Ford,Explorer,XLT,,,,
2019,Ford,F-150,King Ranch,,,,
2019,Ford,F-150,Lariat,,,,
2019,Ford,F-150,Limited,,,,
2019,Ford,F-150,Platinum,,,,
2019,Ford,F-150,Police Responder,,,,
2019,Ford,F-150,Raptor,,,,
2019,Ford,F-150,XL,,,,
2019,Ford,F-150,XLT,,,,
2019,Ford,F-250 Super Duty,King Ranch,,,,
2019,Ford,F-250 Super Duty,Lariat,,,,
2019,Ford,F-250 Super Duty,Limited,,,,
2019,Ford,F-250 Super Duty,Platinum,,,,
2019,Ford,F-250 Super Duty,XL,,,,
2019,Ford,F-250 Super Duty,XLT,,,,
2019,Ford,F-350 Super Duty,King Ranch,,,,
2019,Ford,F-350 Super Duty,Lariat,,,,
2019,Ford,F-350 Super Duty,Limited,,,,
2019,Ford,F-350 Super Duty,Platinum,,,,
2019,Ford,F-350 Super Duty,XL,,,,
2019,Ford,F-350 Super Duty,XLT,,,,
2019,Ford,Fiesta,S,,,,
2019,Ford,Fiesta,SE,,,,
2019,Ford,Fiesta,ST,,,,
2019,Ford,Fiesta,ST Line,,,,
2019,Ford,Flex,Limited,,,,
2019,Ford,Flex,SE,,,,
2019,Ford,Flex,SEL,,,,
2019,Ford,Fusion,S,,,,
2019,Ford,Fusion,SE,,,,
2019,Ford,Fusion,SEL,,,,
2019,Ford,Fusion,Titanium,,,,
2019,Ford,Fusion,V6 Sport,,,,
2019,Ford,Fusion Energi,Titanium,,,,
2019,Ford,Fusion Hybrid,SE,,,,
2019,Ford,Fusion Hybrid,SEL,,,,
2019,Ford,Fusion Hybrid,Titanium,,,,
2019,Ford,Mustang,BULLITT,,,,
2019,Ford,Mustang,EcoBoost,,,,
2019,Ford,Mustang,EcoBoost Premium,,,,
2019,Ford,Mustang,GT,,,,
2019,Ford,Mustang,GT Premium,,,,
2019,Ford,Mustang,Shelby GT350,,,,
2019,Ford,Ranger,Lariat,,,,
2019,Ford,Ranger,XLT,,,,
2019,Ford,Taurus,Limited,,,,
2019,Ford,Taurus,SE,,,,
2019,Ford,Taurus,SEL,,,,
2019,Ford,Transit Cargo,150,,,,
2019,Ford,Transit Cargo,250,,,,
2019,Ford,Transit Cargo,350,,,,
2019,Ford,Transit Cargo,350 HD,,,,
2019,Ford,Transit Connect Cargo,XL,,,,
2019,Ford,Transit Connect Cargo,XLT,,,,
